persona_id,persona_name,persona_type,persona_desc,likes,dislikes
P01,역세권 1인가구,월세 | 오피스텔,역세권에서 컴팩트하게 사는 1인가구,지하철역 가까움|비교적 신축|작은 평수,지하철역 먼 곳
P02,신혼부부,전세 | 아파트,둘만의 첫집을 실용적으로 시작하는 타입,비교적 신축|주차 여유|지하철·버스 가까움,주차 불편|노후 건물
P03,내집마련 실거주,매매 | 아파트,오래 살 집이라 컨디션과 공간이 최우선,신축|넓은 평수|주차 여유,노후 건물|주차 부족
P04,투자·환금성형,매매 | 아파트,거래 흐름 보고 빠르게 움직이는 투자 성향,거래 활발|지하철역 가까움,거래 부진한 곳
P05,대가족,전세 | 아파트,식구가 많아 공간과 주차와 가격이 핵심,넓은 평수|주차 여유|저렴한 가격,좁은 평수|비싼 가격
P06,직주근접 실무자,전세 | 오피스텔,출퇴근 스트레스 줄이는 직주근접 우선,버스·지하철 가까움|비교적 신축,대중교통 불편
P07,가성비 실거주,월세 | 다세대,월세 부담 낮추고 실속 챙기는 타입,저렴한 가격|버스 접근성,비싼 가격
P08,뷰/고층 선호,매매 | 아파트,높을수록 만족하는 뷰와 개방감 우선,20층 이상|비교적 신축|지하철역 가까움,저층|뷰 나쁜 곳
P09,교통 무관·로컬 선호,전세 | 다세대,교통보다 동네 분위기와 커뮤니티 우선,동네 커뮤니티 중시,특별히 없음
P10,서울 핵심지 집착,월세 | 오피스텔,서울 핵심지 아니면 감흥 없는 도심 고정형,지하철역 가까움|신축,지하철역 먼 곳